user,text,favorite_count,retweet_count,created_at
CharukaTawanda,@Naija_PR The dkb djd t rhn verh fasf,0,0,2022-12-08 13:29:22+00:00
CharukaTawanda,@MurambwiZW @mudiwahoodstore 😂😂😂 Place an order tione,1,0,2022-12-01 12:20:26+00:00
CharukaTawanda,@HarmonyShox @carl_ru Ndiani mudhara uyu,0,0,2022-12-01 05:20:54+00:00
CharukaTawanda,Cersei and Jaime Look what you have done to our generation 😳 https://t.co/uL4JmPY6E5,1,0,2022-11-29 19:05:35+00:00
CharukaTawanda,Been a while https://t.co/zpUe4cKvTg,4,0,2022-11-28 04:31:19+00:00
CharukaTawanda,@Shecky_18 😍 Good content,0,0,2022-11-28 04:29:45+00:00
CharukaTawanda,@MattMatura I keep asking myself why Sane didn't start,1,0,2022-11-28 04:29:18+00:00
CharukaTawanda,@nokuthuulaa 🤣🤣Matopinda pa Twar lol,1,0,2022-11-27 05:17:58+00:00
CharukaTawanda,@MacBelts @HHichilema @edmnangagwa @HarmonyShox at @MurambwiZW  inzwai zviripano,0,0,2022-11-21 19:09:04+00:00
CharukaTawanda,@MurambwiZW @hatiperi_wacho @kunta_kiddd @Axecure_sneaker 😂😂😂😂 tenge takuti tamirira mfesi wedu we axecure,2,0,2022-11-14 16:27:06+00:00
CharukaTawanda,@MurambwiZW @BronxyStancelos @kunta_kiddd 😂😂😂 ha vakudeepisa. Its not true,1,0,2022-11-08 18:58:29+00:00
CharukaTawanda,@MurambwiZW @BronxyStancelos @kunta_kiddd 😂😂😂😂,1,0,2022-11-08 18:32:41+00:00
CharukaTawanda,@AdvoBarryRoux @MurambwiZW  Shumba svikai muone zviripano,1,0,2022-10-06 18:15:53+00:00
CharukaTawanda,@MurambwiZW @AdvoBarryRoux @TafadzwaSigauk1 Tikutotsvaka kuti varipi 😂,2,0,2022-09-20 10:27:24+00:00
CharukaTawanda,@MurambwiZW @advocatemahere @ZANUPF_Official @nelsonchamisa 😂😂😂,0,0,2022-08-27 05:01:51+00:00
CharukaTawanda,@MurambwiZW @ZimViral 😂😂Vanenge vanopisa blazz ava,0,0,2022-07-08 05:01:23+00:00
CharukaTawanda,@MurambwiZW @rank_marshal 😂😂Masvingo yakatrainer lol,0,0,2022-06-09 13:06:20+00:00
CharukaTawanda,"@elonmusk  your boy from Zimbabwe just graduated with a computer systems engineering Degree, can you assist me up with a Data Engineering internship",1,0,2022-05-25 12:38:19+00:00
CharukaTawanda,@munhu_washe28 All American and You will keep you awake,0,0,2022-02-03 18:10:04+00:00
CharukaTawanda,@SpeakerShinjini Yes I am,0,0,2022-02-01 17:10:38+00:00
CharukaTawanda,@Shecky_18 @Chandisarewa96 😂😂 The white guy part lol,2,0,2022-01-17 09:32:13+00:00
CharukaTawanda,@nokuthuulaa Tariq...,0,0,2022-01-09 08:23:54+00:00
CharukaTawanda,"@MattMatura A great show,",2,0,2022-01-03 13:00:50+00:00
CharukaTawanda,"@Yvonne_Maphosa Great place for a vacation, worked there for a year",0,0,2021-12-31 19:38:33+00:00
CharukaTawanda,"@Boitumelo_MB Haaland was a better option,",5,0,2021-12-30 18:35:46+00:00
CharukaTawanda,"@Shecky_18 @DhaniMahobho @DobbieTt Okay, sheke**🤐...",2,0,2021-12-30 17:48:14+00:00
CharukaTawanda,"@Shecky_18 @DhaniMahobho @DobbieTt Let me guess, class of 2015 o level...",2,0,2021-12-30 17:36:14+00:00
